RT,dark,bright
-0.608,1,0
0.731,1,0
0.543,1,0
0.601,0,1
0.808,0,1
0.608,0,1
0.622,0,1
0.723,1,0
0.812,1,0
0.608,0,1
0.687,1,0
-0.662,1,0
-0.624,1,0
0.659,0,1
0.504,1,0
-0.783,1,0
0.707,1,0
0.641,1,0
0.641,0,1
-0.92,1,0
0.741,0,1
0.614,0,1
0.499,0,1
0.466,0,1
0.579,1,0
-0.532,1,0
-0.597,1,0
0.813,1,0
0.551,0,1
-0.725,0,1
0.6,1,0
-0.474,1,0
-0.521,1,0
0.786,1,0
-0.805,0,1
-0.629,0,1
0.703,0,1
-0.553,1,0
0.557,1,0
-0.783,0,1
-1.092,0,1
-0.824,1,0
-0.665,1,0
0.633,0,1
-0.757,1,0
-0.627,1,0
-0.716,1,0
0.622,0,1
-0.555,1,0
0.791,0,1
-0.61,0,1
0.92,0,1
-0.6,0,1
0.732,0,1
0.678,0,1
-0.638,0,1
0.712,0,1
-0.533,1,0
-0.64,0,1
-0.661,1,0
-0.973,1,0
-0.908,1,0
0.789,0,1
-0.679,1,0
-0.599,0,1
-0.65,1,0
-0.817,1,0
-0.718,0,1
0.815,1,0
0.8,1,0
0.509,0,1
-0.676,0,1
-0.654,1,0
-0.591,1,0
0.789,0,1
-0.707,0,1
-0.744,0,1
-0.714,1,0
-1.03,1,0
-0.793,0,1
0.84,0,1
-0.693,0,1
-0.733,1,0
-0.716,0,1
-0.799,0,1
-0.939,0,1
-0.61,1,0
0.691,0,1
-0.827,1,0
0.641,1,0
-0.88,1,0
0.476,0,1
0.638,0,1
0.778,0,1
0.799,0,1
-0.701,1,0
-1.074,1,0
1.014,0,1
-0.558,1,0
0.574,1,0
-0.71,1,0
0.571,0,1
-1.125,1,0
0.983,1,0
-1.079,1,0
-0.715,1,0
0.712,0,1
0.646,1,0
-0.747,0,1
0.771,0,1
0.761,0,1
-0.988,0,1
-0.696,1,0
-0.821,1,0
-0.764,1,0
-0.584,1,0
0.62,0,1
0.617,0,1
-0.599,1,0
-0.505,1,0
-0.605,1,0
-0.614,1,0
0.987,0,1
0.676,0,1
-0.794,0,1
-0.639,1,0
0.867,1,0
0.678,0,1
-0.895,0,1
0.893,1,0
-0.598,1,0
-0.897,0,1
-1.046,1,0
-0.568,1,0
-1.028,1,0
-0.854,0,1
-0.503,1,0
-0.567,0,1
0.744,0,1
0.813,0,1
0.884,0,1
0.972,0,1
0.734,0,1
-0.749,0,1
0.86,0,1
-0.68,1,0
0.722,0,1
-0.815,1,0
0.87,1,0
-0.641,1,0
0.63,0,1
-0.637,1,0
0.958,0,1
-0.657,1,0
-0.513,1,0
0.879,0,1
-0.464,1,0
-0.495,1,0
-0.558,0,1
-0.609,0,1
-0.56,1,0
-0.602,1,0
0.501,0,1
-0.53,0,1
0.844,0,1
-0.495,1,0
-0.747,1,0
0.538,0,1
-0.534,0,1
0.793,0,1
-0.892,1,0
0.701,0,1
0.561,0,1
0.602,0,1
-0.532,1,0
0.667,0,1
-0.538,1,0
-0.548,1,0
-0.563,1,0
-1.119,0,1
0.973,0,1
0.823,0,1
-0.601,0,1
-0.794,1,0
-0.547,1,0
0.904,0,1
-0.549,1,0
-0.563,1,0
-0.729,1,0
0.627,0,1
-0.502,1,0
-0.488,1,0
-0.562,1,0
-0.88,1,0
-0.692,1,0
-0.739,0,1
-0.879,0,1
1.12,0,1
0.695,0,1
-0.709,1,0
-0.515,1,0
-0.584,1,0
-0.463,1,0
-0.682,0,1
0.787,0,1
-0.507,1,0
-0.501,1,0
-0.528,1,0
0.796,1,0
-0.708,0,1
-0.796,0,1
1.119,0,1
1.078,1,0
-0.533,1,0
0.746,0,1
-0.858,0,1
