RT,dark,bright
-0.6819,1,0
0.6294,1,0
0.4425,1,0
0.6289,0,1
0.5677,0,1
0.5866,0,1
0.6645,0,1
-0.7662,1,0
0,1,0
0.6418,0,1
-0.3323,1,0
-0.7036,1,0
0.5974,1,0
0.561,0,1
-0.4459,1,0
-0.6638,1,0
0.7015,1,0
0.5806,1,0
0.4996,0,1
-0.6062,1,0
-0.5038,0,1
0.5852,0,1
0.6342,0,1
0.5649,0,1
-0.7088,1,0
0,1,0
0.4291,1,0
0.8464,1,0
0.7263,0,1
0.8228,0,1
-0.6618,1,0
0.6623,1,0
-0.5467,1,0
0.5255,1,0
0.5669,0,1
0.5484,0,1
0.4957,0,1
0.5204,1,0
0.3991,1,0
0.4958,0,1
0.502,0,1
0.8037,1,0
0.7896,1,0
0.5773,0,1
0.514,1,0
0.4998,1,0
0.5078,1,0
0,0,1
-0.7648,1,0
0.5812,0,1
0.4795,0,1
0.4908,0,1
0.4793,0,1
0.4909,0,1
0.4,0,1
0.6441,0,1
0.5278,0,1
-0.6035,1,0
0.6153,0,1
-0.7679,1,0
0.6154,1,0
-0.8158,1,0
0.5809,0,1
0,1,0
0.4331,0,1
-0.5981,1,0
0.6313,1,0
0.5045,0,1
0.4979,1,0
0,1,0
0.5626,0,1
0.5154,0,1
0.4486,1,0
0.4991,1,0
0.3992,0,1
0.5237,0,1
0.5271,0,1
-0.7494,1,0
0.6626,1,0
0,0,1
0.5749,0,1
0.5488,0,1
-0.8058,1,0
0.6998,0,1
0.4602,0,1
0.4653,0,1
-0.6241,1,0
0.4991,0,1
-0.5296,1,0
-0.7507,1,0
-0.6309,1,0
0.5988,0,1
0.4792,0,1
0.3991,0,1
0.6865,0,1
0.5061,1,0
0.6612,1,0
0.5278,0,1
0.5468,1,0
0.7185,1,0
0.3852,1,0
0.6125,0,1
0.4935,1,0
0.6943,1,0
0.4565,1,0
0.5046,1,0
0.5629,0,1
0.5296,1,0
0.4464,0,1
0.4629,0,1
0.4962,0,1
0.5299,0,1
0.6106,1,0
-0.6745,1,0
0.578,1,0
0.6119,1,0
0.5112,0,1
0.5296,0,1
0.5635,1,0
0.5199,1,0
-0.7133,1,0
0.5426,1,0
0.4124,0,1
0.5433,0,1
0.4787,0,1
0.7628,1,0
0.6662,1,0
0.6834,0,1
0.4496,0,1
0.8215,1,0
0.5664,1,0
0.3244,0,1
0.4537,1,0
0.5318,1,0
0.4727,1,0
0.4518,0,1
0.4733,1,0
-0.7373,0,1
0.6662,0,1
0.4661,0,1
0.5408,0,1
0.4942,0,1
0.5395,0,1
0.6841,0,1
0,0,1
-0.6688,1,0
0.7286,0,1
0.5435,1,0
-0.5864,1,0
-0.6876,1,0
-0.7376,0,1
0.6349,1,0
0.3994,0,1
0.4674,1,0
0.5155,1,0
-0.6184,0,1
0.6153,1,0
0.6913,1,0
0,0,1
