pp,cond,accuracy,meanRT_correct,meanRT_incorrect,meanRTlog_correct,meanRTlog_incorrect,0.1_correct,0.25_correct,0.3_correct,0.5_correct,0.7_correct,0.75_correct,0.9_correct,0.1_incorrect,0.25_incorrect,0.3_incorrect,0.5_incorrect,0.7_incorrect,0.75_incorrect,0.9_incorrect,skew_correct,stdRT_correct,skew_incorrect,stdRT_incorrect,timeout,n_trials,prop_fast_errors,meanRTdiff,meanRTlogdiff,origin,model
1,acc,0.9907192575406032,465.8737236533974,361.5999999999985,-0.7765250901317067,-1.0187261922923199,380.1239999999994,416.5200000000185,423.93199999995977,451.760000000009,490.34800000004486,504.4400000000315,571.0600000000096,340.6360000000014,354.2799999999915,358.8279999999882,364.10999999998603,368.3879999999888,371.42999999999296,380.55600000000555,1.2012915185471342,77.30411362307987,-0.6424755685422552,22.754709402671487,-99.0,431,1,104.27372365339892,0.2422011021606132,empirical,none
2,explicitDeadline,0.8994845360824743,397.2574469974681,386.95712821244695,-0.9294196451738859,-0.9532948385393666,340.1524000071454,363.69000000879197,371.88880000719803,394.16000000597,426.5033999999988,431.408999999985,459.87100000064834,345.7458000095564,364.82400000887003,367.9950000088664,381.41500001191196,402.6914000054824,409.495500004385,433.6762000107676,0.06347934242713765,44.27863381416504,0.5639445384675594,34.795304362081296,0.10185185185185185,388,1,10.300318785021148,0.023875193365480718,empirical,none
3,implicitDeadline,0.9280742459396751,390.77149997651725,385.06938707139284,-0.9471884032609664,-0.9681950420274876,328.3545999952475,355.97524998208974,361.4875999499464,387.589500011949,415.1664000023971,422.66699994042597,451.2549999308656,322.742999928421,339.36650000000395,344.02899999998,363.342999952321,413.72000002383703,428.3329999523415,477.954999952344,0.5239612510404406,48.61973159495629,0.8758278711487989,67.2407189677618,0.027842227378190254,431,1,5.702112905124409,0.021006638766521202,empirical,none
4,implicitDeadline,0.814385150812065,403.1814757367427,355.7891874547022,-0.9225441240426435,-1.051160131890528,323.441999999981,359.025999940379,366.364999976126,401.709999952291,436.754999904631,446.70249995229847,486.265999904601,269.40989999524294,307.3954999284615,315.4353999332522,353.885499952303,379.65239998333,393.9432499404065,436.4365999713892,0.24439543062473268,67.41864964329653,0.8090894527236479,68.98665693904034,0.07888631090487239,431,1,47.39228828204051,0.1286160078478844,empirical,none
5,acc,0.9391100702576113,552.5238902743134,491.5946153846005,-0.6051536373500342,-0.7210119119335048,450.559999999998,494.140000000014,509.07999999998697,543.2800000000279,578.300000000047,592.5999999999771,658.7000000000121,407.5100000000095,442.67999999999273,446.5,479.25999999999453,519.7299999999815,531.5250000000091,576.4399999999446,1.1383455941569025,88.3553002192151,1.2700896924549894,77.07885698326362,-99.0,427,1,60.92927488971293,0.11585827458347053,empirical,none
6,explicitDeadline,0.8883610451306413,371.4157753887989,357.46595743413957,-0.997038008159597,-1.0355379940808316,318.8199999779463,340.92499999696173,346.2099999833157,369.19999998516903,393.9399999940767,402.67499999562295,429.6399999928664,299.6199999869336,333.1499999850635,337.2799999892714,355.899999994086,385.499999985751,388.24999997613503,412.33999998560176,0.09631883894286017,42.49770903499772,0.11899241294986872,42.0641708351694,0.02546296296296296,421,1,13.949817954659352,0.0384999859212346,empirical,none
7,explicitDeadline,0.914364640883978,394.23184289955935,372.32312903164234,-0.9379245294687805,-0.9966024979563401,336.07299999851995,364.479999999632,372.462999999232,394.00299999775604,421.03900000074594,427.67599999997753,455.514000000025,324.722000000766,348.404499999655,352.151000000769,366.75399999856,401.222000000766,405.84799999888446,431.680999999284,-0.4290547671061356,45.7404906138214,-0.2790294983427503,48.49617256641231,0.16203703703703703,362,1,21.908713867917015,0.058677968487559684,empirical,none
8,implicitDeadline,0.8259860788863109,432.18573876538494,400.60674666793705,-0.8516523872941698,-0.926294587245442,349.141499999998,383.496999976196,395.3505000476725,427.4049999999695,459.3645000476975,471.69774995229074,518.906000071511,328.9334000000036,356.676000023843,360.1877999427962,394.21900004765496,420.50000004767196,432.33000004768803,480.74339998089704,0.6231759101855975,69.8004275126367,0.8966208208484342,62.9188629847552,0.14153132250580047,431,1,31.578992097447895,0.07464219995127219,empirical,none
9,explicitDeadline,0.6981132075471698,372.760895752623,335.2805714283675,-1.0075945617027149,-1.118326473484116,281.9769999989894,330.2759999997795,344.72779999969623,377.176999999996,417.0969999999392,424.201999999059,460.4593999997424,233.0675000002721,289.07800000006705,291.97750000024115,340.59099999943305,378.0081999999119,389.47250000007625,423.1308999992148,-0.7942600965600529,69.44918210472805,-0.2252851379073559,72.59012427319784,0.12705882352941175,371,1,37.48032432425549,0.11073191178140118,empirical,none
10,explicitDeadline,0.889168765743073,372.9972237960335,350.4449999999984,-0.9929049902821406,-1.0566123126320468,323.65200000004864,343.35999999998603,348.50400000001576,366.28000000002805,394.3800000000046,404.55999999999796,439.6239999999876,294.7319999999833,327.7200000000082,331.91400000003614,347.3499999999765,368.01000000002097,373.07000000003603,409.90399999996276,0.2863931922116746,43.39791239478231,-0.07837419723560955,44.23289591916093,0.07674418604651163,397,1,22.552223796035094,0.06370732234990617,empirical,none
