pp,symbol,cond,accuracy,meanRT_correct,meanRT_incorrect,meanRTlog_correct,meanRTlog_incorrect,0.1_correct,0.25_correct,0.3_correct,0.5_correct,0.7_correct,0.75_correct,0.9_correct,0.1_incorrect,0.25_incorrect,0.3_incorrect,0.5_incorrect,0.7_incorrect,0.75_incorrect,0.9_incorrect,skew_correct,stdRT_correct,skew_incorrect,stdRT_incorrect,timeout,n_trials,prop_fast_errors,meanRTdiff,meanRTlogdiff,origin,model
9,0,explicitDeadline,0.676829268292683,578.2792792792793,556.0943396226415,-0.560235278432276,-0.6033832863407659,469.0,514.0,528.0,566.0,612.0,629.0,698.0,432.6,480.0,493.8,545.0,596.4,614.0,697.0,0.5560382745507493,92.89692931329576,0.5767326566534061,103.34767016668752,0.06818181818181818,164,1,22.184939656637766,0.04314800790848983,empirical,none
9,1,explicitDeadline,0.9117647058823529,544.7677419354839,589.6666666666666,-0.621430463155749,-0.5482936198180884,429.4,479.0,486.4,531.0,592.0,596.0,678.6,454.6,513.5,517.4,595.0,652.8,667.5,714.0,0.5720562803023428,92.88778450959948,0.10341564539561122,120.15327512727035,0.03409090909090909,170,0,-44.898924731182774,-0.07313684333766057,empirical,none
10,0,control,0.653179190751445,820.2743362831858,816.95,-0.2257810882183745,-0.2237411888428882,580.2,663.0,688.6,778.0,904.1999999999999,939.0,1126.8,660.7,689.75,706.0,757.5,883.4,915.25,1129.3,0.6418993928153145,197.63382662079573,1.0227265948951796,178.86330591652901,-99.0,173,1,3.324336283185744,-0.0020398993754862926,empirical,none
10,1,control,0.8793103448275862,707.4901960784314,827.3333333333334,-0.36808757393587366,-0.2179863217736026,514.6,607.0,614.6,689.0,762.4,796.0,905.6000000000001,579.0,726.0,743.0,841.0,873.0,923.0,1097.0,0.624020491962747,151.23631376299554,0.3133066406576084,198.35103562455464,-99.0,174,0,-119.84313725490199,-0.15010125216227105,empirical,none
11,0,control,0.5428571428571428,790.1852631578948,793.1125,-0.3270678648651155,-0.2772454324382235,406.24,484.45,550.88,719.9,907.06,995.3,1210.7800000000002,543.57,607.0749999999999,626.1700000000001,728.1,869.28,906.4250000000001,1162.5,1.2020403139853815,355.4149079622177,1.1504067794330781,254.13048496014,-99.0,175,0,-2.927236842105117,-0.049822432426891994,empirical,none
11,1,control,0.7413793103448276,844.0899224806202,891.0133333333333,-0.2364276853830106,-0.2303128667069022,510.50000000000006,583.7,631.14,753.8000000000001,933.2,1000.4,1286.3799999999999,428.32000000000005,536.5999999999999,593.7399999999999,786.5,1060.7199999999998,1114.6000000000001,1471.6400000000003,1.5312959971429725,337.2486417793632,1.1116995574383768,444.9055096820611,-99.0,174,0,-46.92341085271312,-0.006114818676108386,empirical,none
12,0,control,0.6571428571428571,1517.5808695652172,1492.3166666666666,0.26081334670184697,0.2831731786091986,600.74,761.7,891.6399999999996,1357.3999999999999,1700.1,1850.7,2780.200000000001,763.98,885.5,925.51,1244.3,1723.1099999999997,1917.15,2585.7400000000002,1.1700890636670314,886.9553872259088,1.2565100418930777,765.3550467032436,-99.0,175,1,25.264202898550593,-0.022359831907351635,empirical,none
12,1,control,0.8806818181818182,976.2258064516129,1455.8857142857144,-0.11672190768438204,0.2032733516088949,551.84,672.8499999999999,696.84,884.0,1049.0,1106.55,1554.2,717.4000000000001,933.6999999999999,943.6,1004.8,1259.8,1539.5,3241.4,2.7696542931887467,497.14660199498235,1.3149515185489289,966.4690017200313,-99.0,176,0,-479.65990783410143,-0.31999525929327693,empirical,none
18,0,control,0.8128654970760234,770.2071942230216,922.24062496875,-0.3063886771997683,-0.1271545639587595,515.98,584.65,606.3999994000001,714.3000000000001,858.0399999999998,896.9000000000001,1100.6399998000002,648.72,706.725,719.9600002999999,824.2,998.0699999999999,1067.775,1268.9600000000003,1.3476778436671624,248.6691188390535,1.407863609566647,308.0595980873842,-99.0,171,0,-152.03343074572842,-0.17923411324100882,empirical,none
18,1,control,0.8636363636363636,735.7914474342106,938.7958333749999,-0.35012453248216263,-0.11215548984735353,532.3799998999999,578.4000000000001,590.6599990000001,661.1500005,762.7199999999999,803.2249999999999,1116.9400009000003,577.25,697.07500025,723.52,955.2,1112.56,1137.425,1216.23,1.7146410561248044,241.3890758658584,0.6186617449575309,299.7584584429199,-99.0,176,0,-203.00438594078935,-0.2379690426348091,empirical,none
19,0,control,0.7470588235294118,811.6692913385826,877.3720930232558,-0.24357022129837,-0.1650067812886395,579.2,659.5,673.8,740.0,881.1999999999999,929.0,1132.8000000000002,632.6,704.5,740.2,786.0,964.0,1016.5,1259.2000000000003,1.2287071004552008,228.67236058154955,0.9378418969662142,242.25930846097768,-99.0,170,0,-65.7028016846732,-0.0785634400097305,empirical,none
19,1,control,0.8563218390804598,755.3355704697987,828.04,-0.3153441001814648,-0.2096531428513336,559.8,606.0,621.4,694.0,784.4,841.0,1055.8000000000002,669.0,714.0,724.8,807.0,831.8,856.0,1085.2,1.591114599589116,218.33651224095343,0.7632402534888726,177.07636770613976,-99.0,174,0,-72.70442953020131,-0.1056909573301312,empirical,none
20,0,explicitDeadline,0.47904191616766467,606.21875,575.7287356321839,-0.5224546271719692,-0.5769035568656709,445.76000000000005,507.7,541.2800000000001,604.8499999999999,683.61,704.9,766.37,425.58,478.7,497.98,543.5,642.9799999999999,662.45,789.54,-0.0950300537970045,123.93017439267966,0.42830948486522735,129.7062852900029,0.045714285714285714,167,1,30.490014367816116,0.05444892969370163,empirical,none
20,1,explicitDeadline,0.8095238095238095,551.1102941176471,636.134375,-0.6188272541987923,-0.46582866003922474,412.79999999999995,462.22499999999997,479.4,529.75,592.7,636.0999999999999,726.8,510.26,555.625,567.1,651.5,717.99,726.1,762.44,0.5036364405360151,119.42237167385831,-0.1146955738581973,104.08533908529095,0.04,168,0,-85.0240808823529,-0.1529985941595675,empirical,none
21,0,control,0.6931818181818182,1045.549180327869,1083.148148148148,0.01085105157691164,0.04701733527455837,703.1,822.25,849.8,1034.0,1206.7,1256.25,1439.4,731.7,904.0,925.5,1010.0,1183.8999999999994,1323.25,1491.0,0.4261606332443569,272.97846318520976,0.5471352706347572,283.1896762460718,-99.0,176,0,-37.598967820279086,-0.036166283697646726,empirical,none
21,1,control,0.875,932.5844155844156,1135.1363636363637,-0.10611197803585339,0.10121990220990246,652.2,711.0,742.8,886.5,1021.1999999999998,1088.5,1301.9000000000003,829.1,945.0,977.0999999999999,1101.0,1247.1,1269.75,1568.2000000000007,1.0551536359042277,264.536286879135,0.5323590807596874,264.2652519281023,-99.0,176,0,-202.5519480519481,-0.20733188024575583,empirical,none
23,0,control,0.7745664739884393,854.084328358209,1099.7435897435898,-0.2097284909508619,0.05221508079362153,550.1,619.8,650.88,752.95,969.09,1029.6750000000002,1252.78,746.86,836.75,859.8199999999999,1091.8000000000002,1244.34,1307.4,1434.6800000000003,1.0796793299169427,290.44855350604865,0.8740344153655252,332.5517457122249,-99.0,173,0,-245.6592613853809,-0.26194357174448346,empirical,none
23,1,control,0.9090909090909091,863.2225000000001,879.20625,-0.18160652656422557,-0.17553198166849418,613.39,676.075,696.9,803.2,944.5699999999999,985.125,1216.6699999999998,546.4,662.2,669.45,915.5500000000001,1050.9,1066.925,1225.6000000000001,1.137821374302162,240.0868346449079,0.21758525771997356,272.28861028634066,-99.0,176,0,-15.983749999999873,-0.006074544895731393,empirical,none
26,0,explicitDeadline,0.46296296296296297,630.136,610.9747126436782,-0.47904602531654566,-0.5082024838351674,489.08,550.2,566.8199999999999,625.6,676.4399999999999,693.0,816.72,485.56,533.6499999999999,543.5,584.3000000000001,635.7199999999999,683.35,792.26,0.21159483198558987,116.95552011977237,0.7381872945653515,111.06223608115721,0.07428571428571429,162,1,19.161287356321736,0.029156458518621753,empirical,none
26,1,explicitDeadline,0.9085365853658537,573.9919463087249,622.6866666666666,-0.5663206091954313,-0.4939923406384852,469.04,504.70000000000005,517.74,567.6999999999999,612.8,633.3,681.6600000000001,497.42,529.05,540.16,617.3,692.46,707.6500000000001,777.96,0.46790712641910354,86.82952972345929,0.01991751189473123,126.89081283115962,0.06818181818181818,164,0,-48.69472035794172,-0.07232826855694607,empirical,none
27,0,explicitDeadline,0.69375,579.8468468468468,674.5714285714286,-0.5614761279016298,-0.40242805494366884,454.0,501.5,517.0,554.0,620.0,653.5,729.0,553.8,620.0,635.4,671.0,722.8,751.0,773.6,0.6932503941627371,108.12376731389384,-0.13068156227558633,88.7541078861518,0.09090909090909091,160,0,-94.72458172458175,-0.15904807295796097,empirical,none
