DM_st0,LFM_st0,DM_all,LFM_all,file,pp,condition
0.003465852,0.16404726,0.0022372752,0.8302496,file117_explicitDeadline.csv,117,explicitDeadline
0.002197664,0.9479844,0.0032102533,0.04660759,file254_explicitDeadline.csv,254,explicitDeadline
0.12900539,0.5757427,0.06963308,0.2256188,file100_explicitDeadline.csv,100,explicitDeadline
0.0024403234,0.8290139,0.0023363002,0.16620953,file6_explicitDeadline.csv,6,explicitDeadline
0.0041527757,0.6656187,0.004647556,0.32558098,file266_explicitDeadline.csv,266,explicitDeadline
0.00212821,0.19088957,0.0013784529,0.8056037,file75_explicitDeadline.csv,75,explicitDeadline
0.01087741,0.31162578,0.01218581,0.665311,file224_explicitDeadline.csv,224,explicitDeadline
0.0028608402,0.913143,0.003018893,0.08097728,file151_explicitDeadline.csv,151,explicitDeadline
0.0021369706,0.82457846,0.0023285644,0.17095599,file133_explicitDeadline.csv,133,explicitDeadline
0.0023551737,0.93304205,0.0025478092,0.06205496,file112_explicitDeadline.csv,112,explicitDeadline
0.003682552,0.050767545,0.0033931197,0.9421568,file310_explicitDeadline.csv,310,explicitDeadline
0.009618479,0.5872824,0.009911422,0.3931877,file240_explicitDeadline.csv,240,explicitDeadline
0.10844096,0.378796,0.05033967,0.46242332,file17_explicitDeadline.csv,17,explicitDeadline
0.0016471483,0.95716125,0.002186525,0.039005015,file134_explicitDeadline.csv,134,explicitDeadline
0.039634388,0.25547233,0.023453485,0.6814398,file198_explicitDeadline.csv,198,explicitDeadline
0.69578916,0.067043245,0.20848724,0.028680399,file20_explicitDeadline.csv,20,explicitDeadline
0.002038831,0.025489679,0.0017192673,0.97075224,file103_explicitDeadline.csv,103,explicitDeadline
0.0022419358,0.6140471,0.0023695002,0.38134152,file108_explicitDeadline.csv,108,explicitDeadline
0.009456981,0.88415146,0.008205413,0.09818622,file132_explicitDeadline.csv,132,explicitDeadline
0.0044137277,0.37257785,0.005246638,0.61776185,file257_explicitDeadline.csv,257,explicitDeadline
0.036065858,0.6669705,0.03150975,0.26545388,file277_explicitDeadline.csv,277,explicitDeadline
0.0026481792,0.027567936,0.0015315937,0.9682523,file285_explicitDeadline.csv,285,explicitDeadline
0.0022555382,0.891141,0.002445709,0.10415771,file303_explicitDeadline.csv,303,explicitDeadline
0.0028012113,0.86779517,0.0024314101,0.12697217,file252_explicitDeadline.csv,252,explicitDeadline
0.0050738347,0.8167903,0.004780427,0.17335542,file101_explicitDeadline.csv,101,explicitDeadline
0.0032269824,0.6202097,0.0036579666,0.37290543,file148_explicitDeadline.csv,148,explicitDeadline
0.0022502418,0.87558484,0.0022793296,0.11988555,file53_explicitDeadline.csv,53,explicitDeadline
0.001999439,0.9164525,0.0023088795,0.07923915,file143_explicitDeadline.csv,143,explicitDeadline
0.07054496,0.19830604,0.08230417,0.6488448,file241_explicitDeadline.csv,241,explicitDeadline
0.0042365408,0.5399017,0.0052797333,0.45058212,file90_explicitDeadline.csv,90,explicitDeadline
0.0011623648,0.9604644,0.0016818692,0.03669132,file73_explicitDeadline.csv,73,explicitDeadline
0.002003869,0.53302145,0.0020780829,0.46289662,file60_explicitDeadline.csv,60,explicitDeadline
0.003367564,0.9311014,0.0032409877,0.06229,file23_explicitDeadline.csv,23,explicitDeadline
0.085651755,0.6719151,0.060099486,0.18233366,file106_explicitDeadline.csv,106,explicitDeadline
0.0034358907,0.87766,0.0029409141,0.11596324,file105_explicitDeadline.csv,105,explicitDeadline
0.03143821,0.5619878,0.019875688,0.38669828,file317_explicitDeadline.csv,317,explicitDeadline
0.07946145,0.2509311,0.1526458,0.5169617,file244_explicitDeadline.csv,244,explicitDeadline
0.0034810023,0.8702134,0.0029297539,0.123375885,file258_explicitDeadline.csv,258,explicitDeadline
0.0028920781,0.033456046,0.0029929627,0.9606589,file204_explicitDeadline.csv,204,explicitDeadline
0.004064205,0.90942854,0.0032353646,0.08327192,file259_explicitDeadline.csv,259,explicitDeadline
0.0023754712,0.73686385,0.002160751,0.25859985,file176_explicitDeadline.csv,176,explicitDeadline
