DM_st0,LFM_st0,DM_all,LFM_all,file,pp,condition
0.03670404,0.9197918,0.011896696,0.031607524,file117_explicitDeadline.csv,117,explicitDeadline
0.0905198,0.8758538,0.011836164,0.021790255,file254_explicitDeadline.csv,254,explicitDeadline
0.002394303,0.47986385,0.0024778058,0.51526403,file236_acc.csv,236,acc
0.12906536,0.6981371,0.03295418,0.13984337,file142_acc.csv,142,acc
0.027760636,0.7949122,0.009616512,0.16771063,file147_acc.csv,147,acc
0.0024823642,0.9273968,0.0029310158,0.06718984,file297_implicitDeadline.csv,297,implicitDeadline
0.024997812,0.011701122,0.2658796,0.6974215,file210_acc.csv,210,acc
0.0025560558,0.91046596,0.0027373708,0.08424068,file55_implicitDeadline.csv,55,implicitDeadline
0.013280905,0.8378447,0.008650091,0.1402242,file100_explicitDeadline.csv,100,explicitDeadline
0.0031227127,0.6358868,0.0032220103,0.35776845,file62_acc.csv,62,acc
0.0022864754,0.42584115,0.0025349627,0.5693374,file175_acc.csv,175,acc
0.0028573684,0.021090167,0.004261414,0.971791,file46_acc.csv,46,acc
0.010509486,0.8385513,0.0050782915,0.14586096,file172_acc.csv,172,acc
0.0050173146,0.9580138,0.0037060524,0.033262827,file6_explicitDeadline.csv,6,explicitDeadline
0.01875471,0.9451741,0.008453647,0.027617488,file266_explicitDeadline.csv,266,explicitDeadline
0.0024224808,0.97194844,0.0026750562,0.022954118,file19_implicitDeadline.csv,19,implicitDeadline
0.0031893689,0.80257004,0.002615842,0.19162475,file127_acc.csv,127,acc
0.06768838,0.67667395,0.024388118,0.23124957,file288_acc.csv,288,acc
0.0041211797,0.94615954,0.0033040936,0.04641515,file75_explicitDeadline.csv,75,explicitDeadline
0.0036918905,0.9363641,0.0036998843,0.05624407,file224_explicitDeadline.csv,224,explicitDeadline
0.007856995,0.96451646,0.0055749128,0.022051666,file151_explicitDeadline.csv,151,explicitDeadline
0.0038621768,0.92825335,0.0036964656,0.06418801,file261_implicitDeadline.csv,261,implicitDeadline
0.23447968,0.014855316,0.6725228,0.0781422,file267_acc.csv,267,acc
0.0076351343,0.96836287,0.004753024,0.019248918,file133_explicitDeadline.csv,133,explicitDeadline
0.48077598,0.11298598,0.29145136,0.11478664,file58_acc.csv,58,acc
0.01540034,0.95533204,0.0071431985,0.022124423,file112_explicitDeadline.csv,112,explicitDeadline
0.08615262,0.02669052,0.38065737,0.5064994,file235_acc.csv,235,acc
0.002557935,0.8721148,0.0024900038,0.12283727,file262_implicitDeadline.csv,262,implicitDeadline
0.0028178878,0.85110384,0.0023809627,0.14369726,file206_implicitDeadline.csv,206,implicitDeadline
0.0036100168,0.5841558,0.0030883355,0.40914586,file102_acc.csv,102,acc
0.18676417,0.5205481,0.061777025,0.2309107,file212_acc.csv,212,acc
0.0038971636,0.94169956,0.003391871,0.051011402,file310_explicitDeadline.csv,310,explicitDeadline
0.0035725727,0.939782,0.004006624,0.052638758,file240_explicitDeadline.csv,240,explicitDeadline
0.0031725173,0.909614,0.0032335753,0.0839799,file294_implicitDeadline.csv,294,implicitDeadline
0.004892988,0.84874177,0.003057069,0.1433082,file17_explicitDeadline.csv,17,explicitDeadline
0.015515936,0.052697502,0.030353995,0.9014326,file292_acc.csv,292,acc
0.0025442776,0.89729816,0.0027236799,0.09743386,file220_implicitDeadline.csv,220,implicitDeadline
0.012877587,0.96115005,0.006288089,0.019684305,file134_explicitDeadline.csv,134,explicitDeadline
0.0025040486,0.90522534,0.0024265563,0.0898441,file67_implicitDeadline.csv,67,implicitDeadline
0.002344801,0.93514,0.0025587464,0.05995647,file166_implicitDeadline.csv,166,implicitDeadline
0.0021431788,0.8989374,0.0023442537,0.096575215,file84_acc.csv,84,acc
0.0031702104,0.8463716,0.0024252099,0.14803298,file198_explicitDeadline.csv,198,explicitDeadline
0.013953756,0.8292734,0.005700757,0.1510721,file223_acc.csv,223,acc
0.47035667,0.30577844,0.12405871,0.09980614,file286_acc.csv,286,acc
0.0022828209,0.78569657,0.00255901,0.20946158,file256_implicitDeadline.csv,256,implicitDeadline
0.0021583403,0.4963926,0.0025154077,0.49893355,file180_acc.csv,180,acc
