t0,st0,zr,v0,v1,a,alpha,file,pp,condition
0.22975095,0.13388038,0.45212573,-1.7635549,1.2004014,0.666325,0.10206748,file117_explicitDeadline.csv,117,explicitDeadline
0.24702317,0.1512357,0.53625256,-1.837347,1.7190727,0.7020681,0.94589573,file254_explicitDeadline.csv,254,explicitDeadline
0.33966935,0.090875514,0.49288204,-3.1691778,3.0065124,0.555275,-0.021375466,file100_explicitDeadline.csv,100,explicitDeadline
0.30770436,0.1291343,0.49257565,-3.9012637,3.6434212,0.5376356,0.09616648,file6_explicitDeadline.csv,6,explicitDeadline
0.30881867,0.16657457,0.6351758,-3.2879465,1.5696937,0.5947675,0.04735282,file266_explicitDeadline.csv,266,explicitDeadline
0.31882533,0.10899231,0.6268783,-3.9063282,3.860296,0.6098281,0.0035226422,file75_explicitDeadline.csv,75,explicitDeadline
0.3222624,0.12067589,0.50328684,-3.125551,3.5895605,0.568962,0.0042616343,file224_explicitDeadline.csv,224,explicitDeadline
0.25014362,0.14910817,0.45059058,-2.3795745,2.7571576,0.62607825,0.515283,file151_explicitDeadline.csv,151,explicitDeadline
0.30298644,0.18350893,0.45944038,-3.0131376,3.4463024,0.86769843,0.47571674,file133_explicitDeadline.csv,133,explicitDeadline
0.3057399,0.18346299,0.5122912,-2.4231644,2.3095448,0.6296922,0.6533446,file112_explicitDeadline.csv,112,explicitDeadline
0.32841265,0.10395764,0.52718204,-4.048518,2.8043983,0.70203733,-0.023827434,file310_explicitDeadline.csv,310,explicitDeadline
0.2997156,0.14272326,0.5031116,-2.5620232,2.755339,0.490048,0.03699766,file240_explicitDeadline.csv,240,explicitDeadline
0.3104034,0.109851144,0.49835733,-3.9660172,4.612583,0.6683291,-0.026174255,file17_explicitDeadline.csv,17,explicitDeadline
0.2723613,0.15952006,0.60398257,-3.1914651,1.7723496,0.58115304,0.47492474,file134_explicitDeadline.csv,134,explicitDeadline
0.30158442,0.11676211,0.40906316,-4.0948405,4.8284616,0.6318036,-0.039322786,file198_explicitDeadline.csv,198,explicitDeadline
0.29008132,0.057725824,0.51905227,-5.0697923,3.8834102,0.80856025,-0.021777326,file20_explicitDeadline.csv,20,explicitDeadline
0.33662662,0.11546157,0.47693345,-3.227307,3.7811973,0.65646315,0.028889334,file103_explicitDeadline.csv,103,explicitDeadline
0.3266257,0.110885374,0.42604908,-2.387389,3.816815,0.5608998,0.012398146,file108_explicitDeadline.csv,108,explicitDeadline
0.2952943,0.15800649,0.62369746,-2.3484442,1.7575763,0.5582317,0.14134963,file132_explicitDeadline.csv,132,explicitDeadline
0.2984497,0.12831432,0.46979874,-2.272619,2.9058487,0.65266573,-0.0006601666,file257_explicitDeadline.csv,257,explicitDeadline
0.2815269,0.15415286,0.42159384,-1.8861635,2.7732897,0.61467665,0.002935201,file277_explicitDeadline.csv,277,explicitDeadline
0.2864937,0.14227593,0.47625834,-2.6401875,2.982814,0.75645095,0.09300289,file285_explicitDeadline.csv,285,explicitDeadline
0.2875468,0.14526553,0.5619831,-3.8990722,2.6969101,0.67382884,0.42031664,file303_explicitDeadline.csv,303,explicitDeadline
0.28152788,0.11159156,0.4494291,-3.639687,3.070642,0.47500497,0.11149155,file252_explicitDeadline.csv,252,explicitDeadline
0.29805824,0.18759672,0.43886456,-1.1060387,2.063335,0.6494434,0.15849327,file101_explicitDeadline.csv,101,explicitDeadline
0.3135282,0.11920726,0.49673378,-3.217383,2.6795466,0.52159655,0.0026704858,file148_explicitDeadline.csv,148,explicitDeadline
0.29171458,0.12385139,0.52725667,-4.115798,4.017458,0.740918,0.3236948,file53_explicitDeadline.csv,53,explicitDeadline
0.30945086,0.13963787,0.3897984,-2.7918556,3.8085742,0.6750695,0.58871096,file143_explicitDeadline.csv,143,explicitDeadline
0.3282555,0.09697401,0.5409909,-3.1622753,2.90307,0.55496687,-0.028353086,file241_explicitDeadline.csv,241,explicitDeadline
0.25191566,0.18008001,0.531541,-1.8981959,1.3328625,0.7637182,0.041291237,file90_explicitDeadline.csv,90,explicitDeadline
0.22014555,0.17778447,0.45072964,-2.1472106,2.055146,0.79004556,0.97425604,file73_explicitDeadline.csv,73,explicitDeadline
0.29873773,0.1052018,0.44268876,-2.5124726,3.0690296,0.6875245,-0.010459695,file60_explicitDeadline.csv,60,explicitDeadline
0.26703417,0.1546036,0.41582602,-1.6176239,2.9386952,0.52131087,0.75294,file23_explicitDeadline.csv,23,explicitDeadline
0.264795,0.11725846,0.4852647,-1.0658256,1.6890125,0.6441973,-0.011980928,file106_explicitDeadline.csv,106,explicitDeadline
0.2747922,0.16310741,0.5151275,-2.6605222,2.2257893,0.6084727,0.1045027,file105_explicitDeadline.csv,105,explicitDeadline
