t0,st0,zr,v0,v1,a,alpha,file,pp,condition
0.24108516,0.15726602,0.40657064,-2.4272664,2.537244,0.43879,1.0390995,file117_explicitDeadline.csv,117,explicitDeadline
0.22399217,0.18431173,0.54265857,-2.5494726,1.9083601,0.81646377,1.028234,file254_explicitDeadline.csv,254,explicitDeadline
0.34563255,0.18861386,0.4913235,-3.5713234,3.4956844,0.9059921,0.26457682,file236_acc.csv,236,acc
0.384233,0.14283822,0.4853299,-4.6004443,4.656133,0.9812533,-0.014373598,file142_acc.csv,142,acc
0.3631349,0.11355177,0.55631614,-5.0191164,3.756118,0.72718483,0.02068011,file147_acc.csv,147,acc
0.29605475,0.18365744,0.49960864,-3.1438484,2.4844348,0.6897938,0.9591219,file297_implicitDeadline.csv,297,implicitDeadline
0.38139516,0.13607329,0.45820928,-2.4488482,2.7389898,0.9804786,0.0065315138,file210_acc.csv,210,acc
0.3495156,0.15753806,0.6149012,-4.056148,2.930525,0.8251138,0.79401416,file55_implicitDeadline.csv,55,implicitDeadline
0.35216576,0.11503511,0.49523842,-4.007814,3.6503792,0.44891673,0.012323508,file100_explicitDeadline.csv,100,explicitDeadline
0.30501428,0.08518447,0.5070288,-3.8630059,3.8953042,0.7895078,0.005811159,file62_acc.csv,62,acc
0.28748184,0.1363122,0.483781,-3.8103304,3.6381457,1.3693786,0.22935678,file175_acc.csv,175,acc
0.3917392,0.14810738,0.5043386,-3.1058269,2.8224359,0.908417,0.030308466,file46_acc.csv,46,acc
0.34360504,0.08090814,0.5984938,-4.8675838,3.7913046,0.7678072,0.0029135693,file172_acc.csv,172,acc
0.31082323,0.13258527,0.46972036,-4.1470284,4.2251005,0.49559742,0.6222966,file6_explicitDeadline.csv,6,explicitDeadline
0.3136824,0.17168294,0.6178228,-3.7800071,2.1644633,0.4528585,0.9401998,file266_explicitDeadline.csv,266,explicitDeadline
0.27552667,0.16802768,0.5774957,-3.0594058,1.8890842,0.6101295,1.0007706,file19_implicitDeadline.csv,19,implicitDeadline
0.34213358,0.12293385,0.46397486,-3.9913778,4.133747,0.78546894,0.04334758,file127_acc.csv,127,acc
0.33851042,0.09950586,0.42317525,-3.835404,4.5037436,1.0838183,-0.00872165,file288_acc.csv,288,acc
0.3249349,0.12270305,0.66895986,-5.3337717,4.1210265,0.53548694,0.3052337,file75_explicitDeadline.csv,75,explicitDeadline
0.32505757,0.12802917,0.5262859,-4.113183,4.0365314,0.47967416,0.3561483,file224_explicitDeadline.csv,224,explicitDeadline
0.25407076,0.160391,0.4576838,-2.759833,2.7073476,0.5663241,0.9384354,file151_explicitDeadline.csv,151,explicitDeadline
0.30272752,0.12995636,0.474437,-2.7226381,2.5765395,0.5061405,0.08794212,file261_implicitDeadline.csv,261,implicitDeadline
0.40097955,0.15099756,0.43688238,-2.7019637,3.171063,1.3015534,-0.0018155399,file267_acc.csv,267,acc
0.28733197,0.15538044,0.442633,-4.014612,4.7576838,1.0707844,1.0204089,file133_explicitDeadline.csv,133,explicitDeadline
0.33287773,0.08578837,0.5601324,-3.4085188,2.8244157,0.904439,-0.014040961,file58_acc.csv,58,acc
0.29477525,0.18167347,0.51283646,-3.0671446,2.2304778,0.6119926,1.0488129,file112_explicitDeadline.csv,112,explicitDeadline
0.28237605,0.024791809,0.4005386,-1.9232726,2.5459154,1.3251622,0.03002087,file235_acc.csv,235,acc
0.32011864,0.15745212,0.41899434,-2.793786,3.5349603,0.8233153,0.64481276,file262_implicitDeadline.csv,262,implicitDeadline
0.30633512,0.076438636,0.4341306,-4.828179,5.3941946,0.72244173,0.035915673,file206_implicitDeadline.csv,206,implicitDeadline
0.3584602,0.16744518,0.48335224,-2.603272,3.517934,1.0678246,0.035161972,file102_acc.csv,102,acc
0.31399733,0.0933316,0.40554008,-3.5381136,4.0625076,1.0308745,-0.0013280327,file212_acc.csv,212,acc
0.35027248,0.1337431,0.46914423,-5.0155845,5.3886447,0.45755726,0.5356549,file310_explicitDeadline.csv,310,explicitDeadline
0.29997694,0.14239134,0.501417,-3.1054199,3.1263585,0.43962806,0.16946273,file240_explicitDeadline.csv,240,explicitDeadline
0.31558686,0.12480345,0.46370128,-3.2593262,3.5876238,0.5742753,0.24472502,file294_implicitDeadline.csv,294,implicitDeadline
0.32177022,0.12504214,0.5280537,-5.207129,5.047405,0.56087595,0.017493173,file17_explicitDeadline.csv,17,explicitDeadline
0.35457835,0.15170485,0.49663687,-3.4196997,2.6866038,0.9207063,0.025692398,file292_acc.csv,292,acc
0.31792295,0.14948724,0.46221524,-2.7713666,3.5357769,0.6630526,0.23094629,file220_implicitDeadline.csv,220,implicitDeadline
0.27190587,0.16582952,0.56808215,-3.1084085,1.8457245,0.5085632,1.0412139,file134_explicitDeadline.csv,134,explicitDeadline
0.2697457,0.1357755,0.41481832,-3.5651138,4.563723,1.0067098,0.9561888,file67_implicitDeadline.csv,67,implicitDeadline
0.33756378,0.1620485,0.5377153,-4.0077057,3.8888247,0.64688206,0.685888,file166_implicitDeadline.csv,166,implicitDeadline
0.31492352,0.11418872,0.4683813,-4.869698,5.8335867,1.1372592,0.7869075,file84_acc.csv,84,acc
0.31155747,0.1321921,0.4172058,-5.267091,5.287966,0.5469423,0.024215203,file198_explicitDeadline.csv,198,explicitDeadline
0.32773927,0.10133362,0.49532804,-4.5111046,4.5400023,0.8844042,0.017738996,file223_acc.csv,223,acc
0.40544885,0.1481033,0.52094114,-2.8043473,2.4511595,1.6111073,0.014930632,file286_acc.csv,286,acc
0.31586003,0.14967245,0.5078588,-3.168476,2.5638142,0.7016101,0.33584088,file256_implicitDeadline.csv,256,implicitDeadline
0.29519546,0.10626873,0.49880138,-3.3090312,2.758479,0.8235099,0.07858946,file180_acc.csv,180,acc
0.30097616,0.07264961,0.48931503,-5.1561527,4.991164,0.7220831,0.022863146,file20_explicitDeadline.csv,20,explicitDeadline
0.29372922,0.12928645,0.524026,-3.7037485,3.4932234,0.5331883,0.8231627,file116_implicitDeadline.csv,116,implicitDeadline
0.25942352,0.13346444,0.5427303,-2.9777005,3.0202026,0.62401354,1.0364143,file152_implicitDeadline.csv,152,implicitDeadline
0.33525774,0.11474755,0.4575815,-4.308872,5.0502253,0.5646542,0.9005705,file103_explicitDeadline.csv,103,explicitDeadline
0.33704433,0.1251523,0.43307596,-3.300673,4.4754877,0.42975214,0.3577884,file108_explicitDeadline.csv,108,explicitDeadline
0.35627568,0.19125469,0.56765646,-2.7222664,2.8036563,1.6421908,0.016515175,file96_acc.csv,96,acc
0.30364355,0.17588723,0.65947896,-2.972493,1.829998,0.45569614,0.5001521,file132_explicitDeadline.csv,132,explicitDeadline
0.31520164,0.15153155,0.47848144,-3.3027418,3.5714304,0.48675424,0.18069844,file257_explicitDeadline.csv,257,explicitDeadline
0.32322267,0.09283237,0.49031207,-5.2490478,5.1206465,1.0576705,0.08496838,file312_acc.csv,312,acc
0.26440343,0.17856535,0.57037956,-2.4744163,2.0406668,0.6170355,0.5620688,file98_implicitDeadline.csv,98,implicitDeadline
0.37439743,0.12603797,0.47972807,-3.4863632,3.6516488,0.5626716,0.004490543,file205_implicitDeadline.csv,205,implicitDeadline
0.33136034,0.1110568,0.40000865,-3.998714,4.7969456,0.8524765,0.023588695,file284_acc.csv,284,acc
0.2823511,0.16207424,0.4346445,-2.3028343,2.968509,0.54130805,0.4942779,file277_explicitDeadline.csv,277,explicitDeadline
0.38647136,0.14967573,0.49426478,-3.107435,3.624021,0.86101145,0.0692712,file214_acc.csv,214,acc
0.31761432,0.1928923,0.49968174,-2.542725,2.4910445,0.7752566,1.0701988,file16_implicitDeadline.csv,16,implicitDeadline
0.3768703,0.13736509,0.47490218,-4.521826,4.785003,0.78711635,0.016980028,file56_acc.csv,56,acc
0.3084652,0.17709011,0.48049244,-2.0833294,2.2293932,0.6303809,0.50698966,file309_implicitDeadline.csv,309,implicitDeadline
0.33742857,0.162709,0.44791764,-3.156119,3.1810813,0.842088,0.050219122,file150_acc.csv,150,acc
0.28947794,0.13259871,0.46233326,-3.6293464,4.0068,0.65509874,1.0264639,file285_explicitDeadline.csv,285,explicitDeadline
0.34050128,0.12538081,0.44665357,-4.2789764,3.7984464,0.6496883,0.18413055,file283_implicitDeadline.csv,283,implicitDeadline
0.3259812,0.12763532,0.5480987,-3.1189508,2.5422552,1.0120531,0.0015296196,file140_acc.csv,140,acc
0.28031635,0.14448583,0.50990754,-3.8480852,3.6198218,0.7174157,1.0322857,file303_explicitDeadline.csv,303,explicitDeadline
0.35372862,0.17809463,0.47770345,-2.3599913,2.4383094,1.1016294,0.021136364,file253_acc.csv,253,acc
0.28433272,0.11218027,0.4222321,-3.5809004,3.5469081,0.44383457,0.397914,file252_explicitDeadline.csv,252,explicitDeadline
0.30589208,0.19200659,0.44110054,-1.7979026,2.569733,0.44372466,1.0222949,file101_explicitDeadline.csv,101,explicitDeadline
0.3218429,0.1265958,0.47268042,-3.6186242,3.523014,0.40924618,0.31314182,file148_explicitDeadline.csv,148,explicitDeadline
0.3313613,0.10145327,0.4832978,-4.4597874,4.7089624,0.84195566,-0.003723601,file216_acc.csv,216,acc
0.29495922,0.13190214,0.51035786,-4.76131,4.7084775,0.7422503,0.95571995,file53_explicitDeadline.csv,53,explicitDeadline
0.3119326,0.07877829,0.45751426,-4.98645,5.6457276,0.6257836,0.026449993,file119_implicitDeadline.csv,119,implicitDeadline
0.31276998,0.10382564,0.42460546,-3.362181,4.4050217,0.6949252,0.81954366,file308_implicitDeadline.csv,308,implicitDeadline
0.31108603,0.13908854,0.3756187,-3.2165375,4.40307,0.63008505,1.018601,file143_explicitDeadline.csv,143,explicitDeadline
0.33719492,0.110678956,0.5515002,-4.057913,3.4420161,0.44758618,0.029529577,file241_explicitDeadline.csv,241,explicitDeadline
0.45594746,0.17810015,0.5447592,-3.7259138,4.826206,1.058937,0.36205438,file239_acc.csv,239,acc
0.26322362,0.19449943,0.5458825,-2.7970781,1.7227288,0.51917833,1.0111535,file90_explicitDeadline.csv,90,explicitDeadline
0.3756649,0.18607242,0.59111893,-3.497137,2.8112583,0.96814823,0.34080702,file207_implicitDeadline.csv,207,implicitDeadline
0.32860708,0.10658205,0.53251797,-3.7317379,3.4811456,0.54539543,0.067226455,file138_implicitDeadline.csv,138,implicitDeadline
0.3761688,0.15619326,0.42449224,-3.8008142,4.114959,1.0050911,0.074687354,file276_acc.csv,276,acc
0.19096738,0.18730134,0.46583256,-2.778125,2.6147683,1.079139,1.019581,file73_explicitDeadline.csv,73,explicitDeadline
0.32373804,0.141308,0.4135928,-3.8602762,4.3681135,0.4605137,0.39109346,file60_explicitDeadline.csv,60,explicitDeadline
0.25621885,0.13671888,0.3924326,-3.421309,4.113027,0.8490828,0.9473744,file68_implicitDeadline.csv,68,implicitDeadline
0.2697507,0.16152342,0.4185816,-1.9624428,2.9076371,0.47734252,0.90726405,file23_explicitDeadline.csv,23,explicitDeadline
0.34769326,0.12232251,0.5057458,-4.4164605,4.6823764,0.87840664,0.14215936,file161_acc.csv,161,acc
0.35014746,0.17315088,0.49308935,-1.2126824,1.0819366,1.5608925,-0.030010916,file302_acc.csv,302,acc
0.29528692,0.16083409,0.4732142,-1.4493145,2.5471518,0.44215766,0.029075846,file106_explicitDeadline.csv,106,explicitDeadline
0.3202004,0.070645794,0.4605606,-4.1286287,4.3753576,0.73271513,0.026566627,file145_acc.csv,145,acc
0.27442452,0.16750158,0.5096595,-3.0855758,2.3921087,0.51352674,0.95779383,file105_explicitDeadline.csv,105,explicitDeadline
0.34372202,0.12238236,0.47078663,-4.1550736,4.3584905,0.46228194,0.25541463,file317_explicitDeadline.csv,317,explicitDeadline
0.271037,0.19414774,0.42698175,-1.6486949,2.446944,0.794007,1.0486455,file174_implicitDeadline.csv,174,implicitDeadline
0.3288294,0.179666,0.52841896,-2.005483,0.40719533,0.4218367,0.91961503,file244_explicitDeadline.csv,244,explicitDeadline
0.2911969,0.13411829,0.48180026,-2.7166104,2.2486296,0.56994694,0.030134363,file265_implicitDeadline.csv,265,implicitDeadline
0.27444613,0.124809764,0.4364393,-3.620565,4.107574,0.5933459,0.36670065,file311_implicitDeadline.csv,311,implicitDeadline
0.2846066,0.1495776,0.4798135,-2.7392616,2.6348634,0.6125511,0.62428933,file28_implicitDeadline.csv,28,implicitDeadline
0.30514413,0.109265335,0.45395234,-3.9492176,4.4846635,0.72508484,0.5541491,file296_implicitDeadline.csv,296,implicitDeadline
0.3146598,0.108999364,0.44637764,-3.407738,3.5221257,0.6130132,-0.003507951,file80_implicitDeadline.csv,80,implicitDeadline
0.31278908,0.122921854,0.30619377,-2.624389,4.3397465,0.68294615,0.6843307,file29_acc.csv,29,acc
0.28987867,0.17163883,0.48106816,-2.8492713,2.982796,0.7811718,1.0032531,file27_implicitDeadline.csv,27,implicitDeadline
0.39980707,0.14268214,0.53692114,-4.671714,4.1850147,1.1365343,0.38563627,file88_acc.csv,88,acc
0.3088982,0.14413248,0.51603013,-3.5353403,3.05569,0.45389664,0.675408,file258_explicitDeadline.csv,258,explicitDeadline
0.19193734,0.193878,0.49253315,-0.885923,0.7424674,0.64731616,1.0657398,file72_implicitDeadline.csv,72,implicitDeadline
0.3081984,0.105894595,0.550569,-4.540157,4.1582437,0.72060305,0.28081775,file247_implicitDeadline.csv,247,implicitDeadline
0.35771003,0.06503093,0.4986111,-3.6546204,3.96432,0.98203856,-0.014720421,file192_acc.csv,192,acc
0.2977571,0.09841121,0.44304225,-4.682099,5.1845927,0.7336411,0.021945294,file54_implicitDeadline.csv,54,implicitDeadline
0.3496526,0.111054026,0.4009633,-5.555002,5.9308276,0.50873065,0.390903,file204_explicitDeadline.csv,204,explicitDeadline
0.2862828,0.16864447,0.5123219,-2.0010586,2.5133889,0.48027632,0.9345956,file259_explicitDeadline.csv,259,explicitDeadline
0.36541548,0.1085943,0.5077405,-3.6607792,3.07118,1.2411362,-0.026946988,file225_acc.csv,225,acc
0.30259612,0.10753672,0.5092505,-3.340123,3.0315814,0.56278354,0.033364818,file37_acc.csv,37,acc
0.30937463,0.13775769,0.47208673,-2.931639,2.7239544,0.5931961,0.6464139,file126_implicitDeadline.csv,126,implicitDeadline
0.2745029,0.16899355,0.49084195,-3.0317867,2.8819878,0.79685813,0.384803,file227_implicitDeadline.csv,227,implicitDeadline
0.33344626,0.12062939,0.33058122,-4.12801,5.326445,0.5738043,0.48024267,file176_explicitDeadline.csv,176,explicitDeadline
0.28703597,0.17185748,0.31571013,-2.2102787,3.4653585,0.9231623,1.0413677,file69_implicitDeadline.csv,69,implicitDeadline
0.36645168,0.12113573,0.4707939,-3.5547793,3.8685179,0.4757672,1.0175045,file248_explicitDeadline.csv,248,explicitDeadline
