t0,st0,zr,v0,v1,a,alpha,file,pp,condition
0.22857092,0.10653728,0.43052042,-1.1135472,0.8652648,0.3640636,1.2523779,file117_explicitDeadline.csv,117,explicitDeadline
0.24207309,0.11774209,0.54292136,-1.2301451,1.027014,0.3990774,0.9995891,file254_explicitDeadline.csv,254,explicitDeadline
0.33885443,0.08544996,0.49209037,-2.7006943,2.5342894,0.452887,1.7345071,file100_explicitDeadline.csv,100,explicitDeadline
0.30027926,0.115860045,0.48998287,-2.558812,2.4202754,0.36989447,1.2324684,file6_explicitDeadline.csv,6,explicitDeadline
0.30596793,0.1563349,0.6655352,-2.2330813,1.0199538,0.36239013,1.3248504,file266_explicitDeadline.csv,266,explicitDeadline
0.31396827,0.09955783,0.639206,-3.0517366,2.8968587,0.47165132,1.4595288,file75_explicitDeadline.csv,75,explicitDeadline
0.3177519,0.10891173,0.5017416,-2.3417192,2.6464279,0.41136274,1.4527335,file224_explicitDeadline.csv,224,explicitDeadline
0.23994412,0.12212561,0.43569335,-1.4766568,1.6665819,0.37837642,1.0642033,file151_explicitDeadline.csv,151,explicitDeadline
0.2904776,0.16838232,0.4559115,-2.7827127,3.2019112,0.83697116,1.1057092,file133_explicitDeadline.csv,133,explicitDeadline
0.30417478,0.17211302,0.5148793,-1.5851464,1.4743243,0.35923573,1.0489806,file112_explicitDeadline.csv,112,explicitDeadline
0.32271367,0.089236215,0.5259474,-3.4762144,2.4756005,0.61368227,1.6402873,file310_explicitDeadline.csv,310,explicitDeadline
0.29864433,0.134038,0.5063517,-1.7343982,1.8115584,0.29995883,1.4242724,file240_explicitDeadline.csv,240,explicitDeadline
0.30368897,0.102444045,0.49674413,-3.5261683,4.0707097,0.6236852,1.6559994,file17_explicitDeadline.csv,17,explicitDeadline
0.26673084,0.14109446,0.61696386,-1.8023373,0.9998785,0.3066189,1.0449415,file134_explicitDeadline.csv,134,explicitDeadline
0.29477233,0.110248424,0.40392512,-3.4461727,4.154299,0.57264495,1.6096836,file198_explicitDeadline.csv,198,explicitDeadline
0.28265008,0.039308965,0.51954544,-4.843956,3.7582507,0.83250594,1.8364635,file20_explicitDeadline.csv,20,explicitDeadline
0.32695767,0.09689651,0.4718364,-2.612436,3.040099,0.54278857,1.4247023,file103_explicitDeadline.csv,103,explicitDeadline
0.32144213,0.09680664,0.4142459,-1.6838403,2.5943706,0.37126106,1.3631281,file108_explicitDeadline.csv,108,explicitDeadline
0.29244658,0.1448368,0.66096145,-1.5173156,0.98296463,0.2981768,1.2117974,file132_explicitDeadline.csv,132,explicitDeadline
0.29473415,0.112343736,0.46990362,-1.8045614,2.2364357,0.47925165,1.503803,file257_explicitDeadline.csv,257,explicitDeadline
0.2783424,0.14021559,0.4135619,-1.3563462,1.9188443,0.3941122,1.3745581,file277_explicitDeadline.csv,277,explicitDeadline
0.2715743,0.105554946,0.47504273,-2.0947378,2.3148525,0.6024583,1.2366818,file285_explicitDeadline.csv,285,explicitDeadline
0.27412206,0.120590806,0.5662908,-2.6937675,1.9297582,0.51571906,1.0750736,file303_explicitDeadline.csv,303,explicitDeadline
0.27741554,0.09837967,0.43453488,-2.089355,1.8503934,0.27193382,1.2286508,file252_explicitDeadline.csv,252,explicitDeadline
0.29855195,0.17512192,0.4350937,-0.8230741,1.3747118,0.3576739,1.2271547,file101_explicitDeadline.csv,101,explicitDeadline
0.31121317,0.108219944,0.49699867,-2.2122767,1.840059,0.3366979,1.4180954,file148_explicitDeadline.csv,148,explicitDeadline
0.27356285,0.09957757,0.524014,-3.368229,3.28082,0.7264998,1.1375875,file53_explicitDeadline.csv,53,explicitDeadline
0.2970782,0.11858292,0.37359932,-1.9348742,2.6989286,0.50701016,1.06823,file143_explicitDeadline.csv,143,explicitDeadline
0.3274298,0.090795495,0.5446449,-2.631082,2.3633142,0.44002694,1.6991557,file241_explicitDeadline.csv,241,explicitDeadline
0.2522063,0.15908241,0.5344348,-1.441585,1.0465328,0.49935195,1.3714435,file90_explicitDeadline.csv,90,explicitDeadline
0.2147704,0.14874595,0.4343894,-1.5306143,1.5214131,0.5398672,1.0094618,file73_explicitDeadline.csv,73,explicitDeadline
0.29274973,0.083345145,0.43693906,-2.0238142,2.4720984,0.53680706,1.5271273,file60_explicitDeadline.csv,60,explicitDeadline
0.2621549,0.140156,0.3873712,-0.868183,1.518756,0.24643545,1.0336589,file23_explicitDeadline.csv,23,explicitDeadline
0.26587078,0.10146489,0.4894835,-0.8475643,1.2439468,0.43565825,1.5472485,file106_explicitDeadline.csv,106,explicitDeadline
0.26963082,0.1464172,0.5202133,-1.7249135,1.4054338,0.36167896,1.1999897,file105_explicitDeadline.csv,105,explicitDeadline
0.32433254,0.0782254,0.43441576,-1.916059,3.1595721,0.5161252,1.5786123,file317_explicitDeadline.csv,317,explicitDeadline
0.33321902,0.17062518,0.51007414,-0.70020545,0.19755511,0.3410309,1.3470652,file244_explicitDeadline.csv,244,explicitDeadline
0.29986084,0.120410256,0.52522546,-1.7993553,1.6932064,0.30362472,1.2164588,file258_explicitDeadline.csv,258,explicitDeadline
0.3185301,0.059862208,0.44385064,-3.5660696,3.4296422,0.6745391,1.6389213,file204_explicitDeadline.csv,204,explicitDeadline
0.28188446,0.15441543,0.53375155,-0.8650803,1.1123015,0.23214084,1.0389678,file259_explicitDeadline.csv,259,explicitDeadline
0.3240559,0.10486891,0.32690135,-2.495364,3.5055542,0.4851858,1.3434668,file176_explicitDeadline.csv,176,explicitDeadline
0.3660626,0.1184224,0.515854,-2.0641067,1.7445732,0.36107656,1.2247758,file248_explicitDeadline.csv,248,explicitDeadline
0.32883716,0.12694675,0.51028484,-2.6451929,2.6873686,0.58105564,1.4152046,file13_explicitDeadline.csv,13,explicitDeadline
0.318885,0.13035269,0.50067466,-2.665634,2.4310179,0.48796377,1.3077976,file149_explicitDeadline.csv,149,explicitDeadline
0.31353757,0.12647194,0.45708135,-0.95115876,1.2774532,0.32139203,1.19707,file47_explicitDeadline.csv,47,explicitDeadline
0.32769674,0.097477734,0.49416655,-2.831726,2.944413,0.54254425,1.7320147,file2_explicitDeadline.csv,2,explicitDeadline
0.291074,0.08009799,0.36363372,-2.1887407,2.9204319,0.36897987,1.3668095,file196_explicitDeadline.csv,196,explicitDeadline
0.28183845,0.13305534,0.63971627,-2.0502746,1.5382197,0.4301946,1.0514563,file24_explicitDeadline.csv,24,explicitDeadline
0.26820138,0.16976939,0.59154475,-1.159887,1.2281742,0.39256805,1.255358,file233_explicitDeadline.csv,233,explicitDeadline
0.3177248,0.11193377,0.40951464,-1.9795179,2.8304672,0.37604898,1.3095069,file34_explicitDeadline.csv,34,explicitDeadline
0.31146193,0.14643158,0.42003462,-2.1737895,2.2722452,0.47903857,1.329077,file278_explicitDeadline.csv,278,explicitDeadline
0.3170571,0.05969163,0.57238203,-3.2830913,2.8159966,0.46736234,1.5279806,file315_explicitDeadline.csv,315,explicitDeadline
0.33291796,0.14097561,0.5402541,-1.569192,1.3230525,0.33166444,1.213932,file298_explicitDeadline.csv,298,explicitDeadline
0.27993605,0.097962156,0.3691445,-2.3784049,3.3223882,0.5313366,1.1910106,file95_explicitDeadline.csv,95,explicitDeadline
0.27895227,0.12876004,0.44678032,-2.0717654,2.387796,0.4002841,1.1592567,file169_explicitDeadline.csv,169,explicitDeadline
0.29366446,0.071636476,0.47298652,-2.4081635,2.889846,0.54340124,1.4172401,file177_explicitDeadline.csv,177,explicitDeadline
0.3479269,0.12212883,0.4420075,-1.7012423,1.7975426,0.47398883,1.6018126,file70_explicitDeadline.csv,70,explicitDeadline
0.24512143,0.114307314,0.41047865,-1.8508973,1.7306123,0.4078652,1.2007544,file89_explicitDeadline.csv,89,explicitDeadline
0.26018003,0.15226364,0.43648276,-2.9973495,2.9602814,0.9038578,1.0495135,file272_explicitDeadline.csv,272,explicitDeadline
