t0,st0,zr,v0,v1,a,alpha,file,pp,condition
0.23685789,0.13417333,0.36789554,-1.3398516,1.6092061,0.26606384,1.055869,file117_explicitDeadline.csv,117,explicitDeadline
0.22015083,0.16319461,0.5532607,-2.016265,1.5190483,0.62900424,1.0164039,file254_explicitDeadline.csv,254,explicitDeadline
0.32843313,0.16903655,0.49263304,-3.231696,3.1604388,0.91877794,1.4180781,file236_acc.csv,236,acc
0.36352426,0.12368457,0.488016,-4.550963,4.5595565,1.1532109,1.6919088,file142_acc.csv,142,acc
0.35075763,0.099606685,0.5590141,-4.41919,3.3703997,0.72558475,1.5815259,file147_acc.csv,147,acc
0.28458926,0.15773615,0.50455016,-2.294661,1.8794279,0.53822005,1.089153,file297_implicitDeadline.csv,297,implicitDeadline
0.3768644,0.11498113,0.45820215,-2.2976484,2.5366573,0.91751444,1.7908372,file210_acc.csv,210,acc
0.33335498,0.12498086,0.61984867,-3.3376727,2.3667636,0.7523268,1.178101,file55_implicitDeadline.csv,55,implicitDeadline
0.35148412,0.11081514,0.49282655,-3.0079038,2.7817638,0.32393807,1.611039,file100_explicitDeadline.csv,100,explicitDeadline
0.29545277,0.061340302,0.5059533,-3.5418048,3.561753,0.7783568,1.7163731,file62_acc.csv,62,acc
0.25892776,0.06758705,0.4925007,-3.8595817,3.5700982,1.571598,1.5713742,file175_acc.csv,175,acc
0.37519532,0.10557524,0.5058997,-2.7895353,2.5275218,0.8726331,1.5814103,file46_acc.csv,46,acc
0.32988697,0.05363794,0.59753865,-4.4096437,3.4476433,0.78693193,1.6529275,file172_acc.csv,172,acc
0.30284327,0.116219886,0.466844,-2.6034834,2.680829,0.35047364,1.1346358,file6_explicitDeadline.csv,6,explicitDeadline
0.3080992,0.15448159,0.63085455,-2.284277,1.3071551,0.2771657,1.089009,file266_explicitDeadline.csv,266,explicitDeadline
0.26690078,0.1388191,0.5859522,-2.1555514,1.3843405,0.43713173,1.0819273,file19_implicitDeadline.csv,19,implicitDeadline
0.32307872,0.09512341,0.4667754,-3.5795698,3.7324746,0.829829,1.5465503,file127_acc.csv,127,acc
0.3175589,0.0607596,0.43000728,-3.8642433,4.4740834,1.2478527,1.8046192,file288_acc.csv,288,acc
0.31853083,0.11138069,0.68085665,-3.6371698,2.6460056,0.38721466,1.2160139,file75_explicitDeadline.csv,75,explicitDeadline
0.32050005,0.11565732,0.52169234,-2.6374712,2.601815,0.31989577,1.2567713,file224_explicitDeadline.csv,224,explicitDeadline
0.24382383,0.12999144,0.45191854,-1.8279271,1.868624,0.40325758,1.0711551,file151_explicitDeadline.csv,151,explicitDeadline
0.30098668,0.11568856,0.46833956,-1.8054438,1.7335037,0.31217557,1.4079624,file261_implicitDeadline.csv,261,implicitDeadline
0.3856393,0.118747875,0.43991327,-2.7013023,3.1464884,1.3719064,1.8596146,file267_acc.csv,267,acc
0.276851,0.130407,0.45527315,-3.2634544,3.6580741,0.9362435,1.011981,file133_explicitDeadline.csv,133,explicitDeadline
0.32611415,0.062079176,0.558326,-3.1905727,2.6594312,0.8753373,1.7961166,file58_acc.csv,58,acc
0.2872003,0.15875779,0.5124224,-2.2136545,1.6854135,0.46923193,1.026348,file112_explicitDeadline.csv,112,explicitDeadline
