t0,st0,zr,v0,v1,a,alpha,szr,sv,file,pp,condition
0.49123335,0.22840786,0.6144691,-0.42418447,2.0544713,0.5248567,1.6355798,0.2057416,0.57056916,file26_explicitDeadline.csv,26,explicitDeadline
0.518766,0.3286782,0.42638165,-1.0853647,2.0255795,0.47456583,1.7373848,0.20467739,1.0619612,file48_explicitDeadline.csv,48,explicitDeadline
0.5398674,0.28418106,0.5535032,-1.2532839,1.9646951,1.1128858,1.7891616,0.20014644,1.1473708,file382_control.csv,382,control
0.53218573,0.26338992,0.42297897,-0.84361935,1.5438796,1.2496921,1.782881,0.20968983,0.68750197,file191_control.csv,191,control
0.60185766,0.34710753,0.5396578,-0.906417,1.1784325,1.9805522,1.9082752,0.2068735,0.41630176,file222_control.csv,222,control
0.55546594,0.2824902,0.45501894,-1.2103196,2.3758085,0.5536379,1.6439768,0.2030196,0.8818762,file243_explicitDeadline.csv,243,explicitDeadline
0.51699847,0.24580476,0.60466444,-2.2719204,1.9682134,0.5418887,1.7486013,0.19708161,1.1260129,file151_explicitDeadline.csv,151,explicitDeadline
0.49236917,0.20442876,0.69834095,-2.0098224,1.2749076,0.5591404,1.7302922,0.20423338,0.9132218,file321_explicitDeadline.csv,321,explicitDeadline
0.48463482,0.14808306,0.3978598,-0.7291749,2.1118903,1.4525943,1.924783,0.20036353,0.6391654,file23_control.csv,23,control
0.50383157,0.23539883,0.29108784,-0.33990026,2.0898,0.5931839,1.8203847,0.21160555,1.0947944,file27_explicitDeadline.csv,27,explicitDeadline
0.49980795,0.30022886,0.39625373,-0.45827404,2.7629852,0.9644607,1.7353607,0.19341691,1.0823289,file204_control.csv,204,control
0.52114475,0.2902125,0.43661368,-1.354183,1.6019202,0.50951606,1.7526219,0.20893328,0.68196046,file283_explicitDeadline.csv,283,explicitDeadline
0.4843933,0.21978843,0.43158343,-0.9263041,2.7945297,0.51965284,1.6294299,0.20517483,0.61540234,file198_explicitDeadline.csv,198,explicitDeadline
0.3649967,0.2137172,0.5399929,-1.9231092,0.8767564,0.5512256,1.7150934,0.20083411,1.0518398,file227_explicitDeadline.csv,227,explicitDeadline
0.54469705,0.28064615,0.37257352,-0.847309,2.1393878,0.59956545,1.7264475,0.20710942,0.97222704,file348_control.csv,348,control
0.5812808,0.26021278,0.31916395,-1.064603,1.5877856,2.1054552,1.8332213,0.21048406,0.90287864,file63_control.csv,63,control
0.5236449,0.2701763,0.7036463,-0.8799786,1.5389924,0.5789391,1.7919968,0.20573533,1.2272418,file161_explicitDeadline.csv,161,explicitDeadline
0.6216039,0.34490925,0.63173884,-1.6226838,0.9650567,1.2416217,1.8912534,0.19740029,1.2014865,file357_control.csv,357,control
